source,title,blurb,url
BBC,California governor to halt executions,A moratorium will be announced and a temporary reprieve for all 737 inmates on death row in the state.,https://www.bbc.co.uk/news/world-us-canada-47549422
BBC,Felicity Huffman: Desperate Housewives star charged in exam cheating scheme,Desperate Housewives star Felicity Huffman is among at least 40 people charged in a cheating conspiracy.,https://www.bbc.co.uk/news/world-us-canada-47543036
BBC,Would President Trump make a good comedian?,Two comedians rate the president's humour after he accused the media of not appreciating his jokes.,https://www.bbc.co.uk/news/world-us-canada-47533237
BBC,Lori Loughlin daughters in spotlight amid college bribery probe,"Lori Loughlin's daughters are not charged, but what will happen to their college places is unclear.",https://www.bbc.co.uk/news/world-us-canada-47546946
BBC,Boeing: Europe and India join wave of countries grounding the 737 Max,Countries across the world close airspace to Boeing 737 Max aircraft but the US says they are safe to fly.,https://www.bbc.co.uk/news/world-asia-47536502
BBC,Greenpeace hits back at Trump tweet on climate change denial,The environmental group hit back after the president shared a former member's climate change denial.,https://www.bbc.co.uk/news/world-us-canada-47543905
BBC,Actors call for more black hairstylists in Hollywood,Black actors say there are not enough stylists in Hollywood who know how to work with Afro hair.,https://www.bbc.co.uk/news/blogs-trending-47538191
BBC,Tina Fontaine: Murdered schoolgirl 'was repeatedly failed',Tina Fontaine's death led to demands for better protection for indigenous women and girls in Canada.,https://www.bbc.co.uk/news/world-us-canada-47544095
BBC,Venezuela: US withdraws all staff from Caracas embassy,"Secretary of State Mike Pompeo says the move reflects the ""deteriorating situation"" in the country.",https://www.bbc.co.uk/news/world-latin-america-47535921
BBC,Canada province to ban mobile phones in public classrooms,Canada's most populous province will ban mobile phones during class time next year.,https://www.bbc.co.uk/news/world-us-canada-47547135
BBC,'Greatest drummer ever' Hal Blaine dies aged 90,He played with everyone from The Beach Boys and Elvis Presley to Barbra Streisand and John Lennon.,https://www.bbc.co.uk/news/entertainment-arts-47537451
BBC,Elon Musk denies being in contempt of court,Tesla founder Elon Musk has denied that a tweet placed him in contempt of court.,https://www.bbc.co.uk/news/technology-47538721
BBC,What was the world wide web like 30 years ago?,Internet users and pioneers recall what the web looked like on its 30th anniversary.,https://www.bbc.co.uk/news/world-us-canada-47544387
BBC,'Wish my dad happy birthday' billboard draws thousands of calls,A US father receives birthday wishes from around the world after his sons' billboard was widely shared.,https://www.bbc.co.uk/news/world-us-canada-47529100
BBC,The white Southerners who fought US segregation,"Photographer Doy Gorton set out to illustrate the White South, his home, in a more nuanced light, writes James Jeffrey.",https://www.bbc.co.uk/news/world-us-canada-47477354
BBC,College admissions scandal: The extreme lengths parents go to,A university entrance scandal in the US has sparked a debate over money and the US education system.,https://www.bbc.co.uk/news/world-us-canada-47532170
BBC,Is white-collar crime treated more leniently in the US?,Paul Manafort's jail sentence has sparked a debate over the treatment of white-collar crime in the US.,https://www.bbc.co.uk/news/world-us-canada-47477754
BBC,Opioid crisis: US schools prepare for student overdoses,Teaching staff in Alabama are being trained in how to use injections to revive pupils.,https://www.bbc.co.uk/news/world-us-canada-47447603
BBC,Proud Boys and antifa: When a right-wing activist met a left-wing anti-fascist,They come from two political groups that have fought violent battles in the streets. What happened when they met?,https://www.bbc.co.uk/news/blogs-trending-47332054
BBC,Is Will Smith too light for this role and why does it matter?,"Some people say Will Smith isn't dark enough to play a particular role, but why is his skin tone so important?",https://www.bbc.co.uk/news/entertainment-arts-47455368
BBC,Gayle King and R. Kelly: What this photo tells us,A photo of R. Kelly and Gayle King has gone viral on social media after an explosive interview.,https://www.bbc.co.uk/news/world-us-canada-47463349
BBC,Republicans deny mocking victims with pearls,"Republican representatives in New Hampshire were accused of mocking victims of gun crime, after wearing pearl necklaces at a hearing.",https://www.bbc.co.uk/news/blogs-trending-47473072
BBC,Spectacular lightning illuminates California sky,These strikes over the Venice and Playa del Rey areas of Los Angeles were filmed by a news helicopter.,https://www.bbc.co.uk/news/world-us-canada-47476337
BBC,Will Smith 'casting as Richard Williams' sparks colourism debate,Smith is reported to be playing the darker-skinned father of Serena and Venus Williams in a biopic.,https://www.bbc.co.uk/news/world-us-canada-47468011
BBC,US jobs shock as growth slows,"The world's largest economy added just 20,000 jobs in February, but wage growth picked up.",https://www.bbc.co.uk/news/business-47499326
BBC,Trump dealt blow as US trade deficit jumps,The gap between US imports and exports hits a 10-year high despite the president's reduction plan.,https://www.bbc.co.uk/news/business-47472282
BBC,US ambassador defends farming record on chicken and beef,"Washington's ambassador to the UK tells the BBC he would choose to eat ""safe"" chlorine washed chicken.",https://www.bbc.co.uk/news/business-47466812
BBC,Footage emerges of soldiers leaving for D-Day from Cornwall,Thousands of soldiers left from the Helford River in Cornwall for the invasion in northern France.,https://www.bbc.co.uk/news/uk-england-cornwall-47525635
BBC,Are these America's least likely gun owners?,A rise in hate crimes against minority groups has lead some to take up weapons for themselves.,https://www.bbc.co.uk/news/world-us-canada-47502573
BBC,Explaining the Trudeau crisis to a Trump reporter,Canadian Prime Minister Justin Trudeau is facing a political crisis. But would it move the needle in the US?,https://www.bbc.co.uk/news/world-us-canada-47499369
BBC,Felipe's journey: The boy who risked his life for the American dream,Felipe was an eight-year-old who risked his life for an American dream. But what's driving young families to the US?,https://www.bbc.co.uk/news/world-latin-america-47501143
BBC,SpaceX: Dragon capsule splashes down after ISS mission,SpaceX's capsule has splashed down after a week-long test mission to the International Space Station.,https://www.bbc.co.uk/news/science-environment-47493572
BBC,Government's worries over backdoors in Huawei’s 5G tech castle,One potential problem with next-gen mobile technology may have more to do with castles than you’d expect.,https://www.bbc.co.uk/news/technology-47489411
BBC,R. Kelly girlfriends defend him in emotional interview extracts,Azriel Clary and Joycelyn Savage deny the singer held them against their will in further interview extracts.,https://www.bbc.co.uk/news/world-47490009
BBC,Colorado police confront man picking up rubbish on his lawn,Gun-wielding police in the US state of Colorado have been filmed confronting a man picking up trash on his lawn.,https://www.bbc.co.uk/news/world-us-canada-47491722
BBC,'I wish she had come to me with concerns',"The leader points to a ""lack of communications"" between his office and the former attorney general.",https://www.bbc.co.uk/news/world-us-canada-47477355
BBC,Senator Martha McSally recounts Air Force sexual assault,"Martha McSally, who was the first woman to fly in combat for the US, says she stayed silent for years.",https://www.bbc.co.uk/news/world-us-canada-47477058
